"","Day","Hr","Temp","KWH"
"1","1/1/2014",0,23,62.4322002778617
"2","1/1/2014",1,21.9,60.7772381598358
"3","1/1/2014",2,21.9,59.5181011066842
"4","12/1/2014",0,51.98,71.2552478580514
"5","12/1/2014",1,51.98,69.9961108048999
"6","12/1/2014",2,51.08,68.4131168804875
"7","12/1/2014",3,51.08,67.1539798273359
"8","12/1/2014",4,51.08,65.8948427741844
"9","12/1/2014",5,51.08,64.6357057210328
"10","12/1/2014",6,50,62.9879404223683
"11","12/1/2014",7,53.06,144.22123334978
"12","12/1/2014",8,55.94,143.998438284663
"13","12/1/2014",9,60.08,144.229042839311
"14","12/1/2014",10,60.08,142.969905786159
"15","12/1/2014",11,62.06,142.423253849781
"16","12/1/2014",12,62.96,141.487973667891
"17","12/1/2014",13,60.98,139.516351497965
"18","12/1/2014",14,57.92,137.156101082527
"19","12/1/2014",15,55.04,134.860622041341
"20","12/1/2014",16,53.06,132.888999871415
"21","12/1/2014",17,51.08,130.91737770149
"22","12/1/2014",18,48.92,128.880984157313
"23","12/1/2014",19,48.02,127.2979902329
"24","12/1/2014",20,46.94,44.2589083159597
"25","12/1/2014",21,42.98,41.5748010292605
"26","12/1/2014",22,41,39.6031788593352
"27","12/1/2014",23,39.02,37.6315566894098
"28","12/2/2014",0,37.94,67.005652503587
"29","12/2/2014",1,37.04,65.4226585791746
"30","12/2/2014",2,35.96,63.7748932805101
"31","12/2/2014",3,35.06,62.1918993560977
"32","12/2/2014",4,35.06,60.9327623029461
"33","12/2/2014",5,33.98,59.2849970042816
"34","12/2/2014",6,33.98,58.02585995113
"35","12/2/2014",7,33.08,137.834182644994
"36","12/2/2014",8,33.08,136.575045591842
"37","12/2/2014",9,33.98,135.639765409951
"38","12/2/2014",10,35.06,134.769256602313
"39","12/2/2014",11,37.04,134.222604665935
"40","12/2/2014",12,37.04,132.963467612783
"41","12/2/2014",13,37.04,131.704330559632
"42","12/2/2014",14,37.04,130.44519350648
"43","12/2/2014",15,37.22,129.250827827581
"44","12/2/2014",16,35.96,127.538291154664
"45","12/2/2014",17,35.96,126.279154101513
"46","12/2/2014",18,36.68,125.27910254537
"47","12/2/2014",19,37.04,124.149508240723
"48","12/2/2014",20,37.67,41.7257543791775
"49","12/2/2014",21,39.02,40.9524026329172
"50","12/2/2014",22,39.32,39.8012178701859
"51","12/2/2014",23,41,39.1466136433879
"52","12/3/2014",0,42.89,69.5894371327257
"53","12/3/2014",1,43.82,68.664952179877
"54","12/3/2014",2,44.96,67.8160338303225
"55","12/3/2014",3,44.78,66.4921254029188
"56","12/3/2014",4,45.14,65.3625310982715
"57","12/3/2014",5,45.23,64.135779732246
"58","12/3/2014",6,37.58,60.1238592733776
"59","12/3/2014",7,37.22,140.126496089998
"60","12/3/2014",8,37.94,139.126444533855
"61","12/3/2014",9,39.02,138.255935726216
"62","12/3/2014",10,40.1,137.385426918578
"63","12/3/2014",11,44.06,137.551260098974
"64","12/3/2014",12,46.31,137.101765223974
"65","12/3/2014",13,50,137.170441342992
"66","12/3/2014",14,51.08,136.299932535353
"67","12/3/2014",15,51.44,135.170338230706
"68","12/3/2014",16,50,133.393030183537
"69","12/3/2014",17,50,132.133893130386
"70","12/3/2014",18,50,130.874756077234
"71","12/3/2014",19,49.46,129.421304901326
"72","12/3/2014",20,48.02,46.2526802358812
"73","12/3/2014",21,42.98,43.179944703669
"74","12/3/2014",22,42.08,41.5969507792567
"75","12/3/2014",23,39.92,39.5605572350791
"76","12/4/2014",0,39.02,68.9994244235085
"77","12/4/2014",1,37.94,67.3516591248439
"78","12/4/2014",2,37.94,66.0925220716924
