"","date","hour","account","year","month","day","DayOfWeek","Weekday","kWh","peakhour","Temperature"
"1",2014-01-01,0,999999999,2014,1,1,3,1,78.405,0,23
"2",2014-01-01,1,999999999,2014,1,1,3,1,76.425,0,21.9
"3",2014-01-01,2,999999999,2014,1,1,3,1,78.015,0,21.9
"4",2014-01-01,3,999999999,2014,1,1,3,1,78.12,0,21.9
"5",2014-01-01,4,999999999,2014,1,1,3,1,77.535,0,21
"6",2014-01-01,5,999999999,2014,1,1,3,1,104.099999,0,21
"7",2014-01-01,6,999999999,2014,1,1,3,1,158.264998,0,21
"8",2014-01-01,7,999999999,2014,1,1,3,1,249.164995,1,19.9
"9",2014-01-01,8,999999999,2014,1,1,3,1,240.524994,1,23
"10",2014-01-01,9,999999999,2014,1,1,3,1,224.069994,1,24.1
"11",2014-01-01,10,999999999,2014,1,1,3,1,223.394993,1,26.1
"12",2014-01-01,11,999999999,2014,1,1,3,1,215.039996,1,26.1
"13",2014-01-01,12,999999999,2014,1,1,3,1,210.675,1,27
"14",2014-01-01,13,999999999,2014,1,1,3,1,196.049998,1,28
"15",2014-01-01,14,999999999,2014,1,1,3,1,196.559993,1,27
"16",2014-01-01,15,999999999,2014,1,1,3,1,151.829996,1,27
"17",2014-01-01,16,999999999,2014,1,1,3,1,103.739998,1,26.1
"18",2014-01-01,17,999999999,2014,1,1,3,1,99.584999,1,25
"19",2014-01-01,18,999999999,2014,1,1,3,1,97.589998,1,24.1
"20",2014-01-01,19,999999999,2014,1,1,3,1,91.47,1,24.1
"21",2014-01-01,20,999999999,2014,1,1,3,1,93.6,0,23
"22",2014-01-01,21,999999999,2014,1,1,3,1,79.35,0,21.9
"23",2014-01-01,22,999999999,2014,1,1,3,1,76.44,0,23
"24",2014-01-01,23,999999999,2014,1,1,3,1,78.975,0,23
"25",2014-01-02,0,999999999,2014,1,2,4,1,78.66,0,21
"26",2014-01-02,1,999999999,2014,1,2,4,1,77.385,0,20.1666666666667
"27",2014-01-02,2,999999999,2014,1,2,4,1,79.485,0,19.2
"28",2014-01-02,3,999999999,2014,1,2,4,1,83.685,0,19.2
"29",2014-01-02,4,999999999,2014,1,2,4,1,162.194999,0,19.2
"30",2014-01-02,5,999999999,2014,1,2,4,1,170.474997,0,19.2666666666667
"31",2014-01-02,6,999999999,2014,1,2,4,1,205.874997,0,19.2666666666667
"32",2014-01-02,7,999999999,2014,1,2,4,1,264.044997,1,19.2
"33",2014-01-02,8,999999999,2014,1,2,4,1,263.534995,1,19.5666666666667
"34",2014-01-02,9,999999999,2014,1,2,4,1,269.009995,1,24.1
"35",2014-01-02,10,999999999,2014,1,2,4,1,80.82,1,25.8
"36",2014-01-02,11,999999999,2014,1,2,4,1,33.45,1,24.5666666666667
"37",2014-01-02,12,999999999,2014,1,2,4,1,24.825,1,24.1
"38",2014-01-02,13,999999999,2014,1,2,4,1,28.995,1,25.8333333333333
"39",2014-01-02,14,999999999,2014,1,2,4,1,20.775,1,19.9
"40",2014-01-02,15,999999999,2014,1,2,4,1,6,1,13.95
"41",2014-01-03,6,999999999,2014,1,3,5,1,6.975,0,3.1
"42",2014-01-03,7,999999999,2014,1,3,5,1,50.79,1,3.9
"43",2014-01-03,8,999999999,2014,1,3,5,1,51.945,1,5
"44",2014-01-03,9,999999999,2014,1,3,5,1,40.275,1,6.1
"45",2014-01-03,10,999999999,2014,1,3,5,1,41.1,1,8.8
"46",2014-01-03,11,999999999,2014,1,3,5,1,40.995,1,9.75
"47",2014-01-03,12,999999999,2014,1,3,5,1,40.095,1,12
"48",2014-01-03,13,999999999,2014,1,3,5,1,39.06,1,14
"49",2014-01-03,14,999999999,2014,1,3,5,1,37.785,1,14
"50",2014-01-03,15,999999999,2014,1,3,5,1,20.295,1,12.9
"51",2014-01-06,5,999999999,2014,1,6,1,1,0.21,0,44.7333333333333
"52",2014-01-06,6,999999999,2014,1,6,1,1,1.35,0,46.9
"53",2014-01-06,7,999999999,2014,1,6,1,1,51.075,1,48.1
"54",2014-01-06,8,999999999,2014,1,6,1,1,90.764999,1,48.1333333333333
"55",2014-01-06,9,999999999,2014,1,6,1,1,95.609999,1,51.1
"56",2014-01-06,10,999999999,2014,1,6,1,1,89.894999,1,52.4666666666667
"57",2014-01-06,11,999999999,2014,1,6,1,1,82.005,1,54.5833333333333
"58",2014-01-06,12,999999999,2014,1,6,1,1,75.51,1,55.65
"59",2014-01-06,13,999999999,2014,1,6,1,1,64.125,1,53.8
"60",2014-01-06,14,999999999,2014,1,6,1,1,51.21,1,53.35
"61",2014-01-06,15,999999999,2014,1,6,1,1,23.55,1,48
"62",2014-01-06,16,999999999,2014,1,6,1,1,0.15,1,45
"63",2014-01-07,6,999999999,2014,1,7,2,1,5.4,0,12.9
"64",2014-01-07,7,999999999,2014,1,7,2,1,71.97,1,12
"65",2014-01-07,8,999999999,2014,1,7,2,1,105.059999,1,12.9
"66",2014-01-07,9,999999999,2014,1,7,2,1,75.42,1,14
"67",2014-01-07,10,999999999,2014,1,7,2,1,109.439995,1,15.1
"68",2014-01-07,11,999999999,2014,1,7,2,1,94.425,1,15.1
"69",2014-01-07,12,999999999,2014,1,7,2,1,87.21,1,16
"70",2014-01-07,13,999999999,2014,1,7,2,1,82.29,1,15.1
"71",2014-01-07,14,999999999,2014,1,7,2,1,79.59,1,15.1
"72",2014-01-07,15,999999999,2014,1,7,2,1,40.05,1,12.9
"73",2014-01-08,6,999999999,2014,1,8,3,1,14.07,0,7
"74",2014-01-08,7,999999999,2014,1,8,3,1,106.019999,1,8.1
"75",2014-01-08,8,999999999,2014,1,8,3,1,135.809997,1,10.9
"76",2014-01-08,9,999999999,2014,1,8,3,1,142.215,1,14
"77",2014-01-08,10,999999999,2014,1,8,3,1,152.534997,1,17.1
"78",2014-01-08,11,999999999,2014,1,8,3,1,101.205,1,19.9
"79",2014-01-08,12,999999999,2014,1,8,3,1,84.63,1,21.9
"80",2014-01-08,13,999999999,2014,1,8,3,1,77.295,1,21
"81",2014-01-08,14,999999999,2014,1,8,3,1,72.3,1,21.9
"82",2014-01-08,15,999999999,2014,1,8,3,1,40.65,1,21
"83",2014-01-08,16,999999999,2014,1,8,3,1,0.03,1,19.9
"84",2014-01-09,6,999999999,2014,1,9,4,1,20.49,0,19
"85",2014-01-09,7,999999999,2014,1,9,4,1,110.354999,1,19.9
"86",2014-01-09,8,999999999,2014,1,9,4,1,127.019998,1,21.9
"87",2014-01-09,9,999999999,2014,1,9,4,1,241.919994,1,24.1
"88",2014-01-09,10,999999999,2014,1,9,4,1,308.579991,1,26.1
"89",2014-01-09,11,999999999,2014,1,9,4,1,303.929994,1,26.1
"90",2014-01-09,12,999999999,2014,1,9,4,1,292.844992,1,28
"91",2014-01-09,13,999999999,2014,1,9,4,1,286.304993,1,30
"92",2014-01-09,14,999999999,2014,1,9,4,1,86.64,1,30
"93",2014-01-09,15,999999999,2014,1,9,4,1,45.87,1,28.9
"94",2014-01-10,6,999999999,2014,1,10,5,1,20.145,0,24.1
"95",2014-01-10,7,999999999,2014,1,10,5,1,93.044999,1,23.45
"96",2014-01-10,8,999999999,2014,1,10,5,1,126.479999,1,24.5666666666667
"97",2014-01-10,9,999999999,2014,1,10,5,1,125.699994,1,26.7333333333333
"98",2014-01-10,10,999999999,2014,1,10,5,1,115.29,1,27.0666666666667
"99",2014-01-10,11,999999999,2014,1,10,5,1,95.64,1,29.2
"100",2014-01-10,12,999999999,2014,1,10,5,1,92.31,1,30.9
"101",2014-01-10,13,999999999,2014,1,10,5,1,70.065,1,32
"102",2014-01-10,14,999999999,2014,1,10,5,1,37.905,1,32
"103",2014-01-10,15,999999999,2014,1,10,5,1,13.455,1,32
"104",2014-01-13,6,999999999,2014,1,13,1,1,22.905,0,30.9
"105",2014-01-13,7,999999999,2014,1,13,1,1,104.789997,1,33.1
"106",2014-01-13,8,999999999,2014,1,13,1,1,135.419997,1,37
"107",2014-01-13,9,999999999,2014,1,13,1,1,128.789997,1,41
"108",2014-01-13,10,999999999,2014,1,13,1,1,128.474997,1,44.1
"109",2014-01-13,11,999999999,2014,1,13,1,1,102.284999,1,46.9
"110",2014-01-13,12,999999999,2014,1,13,1,1,95.234999,1,50
"111",2014-01-13,13,999999999,2014,1,13,1,1,85.89,1,48.9
"112",2014-01-13,14,999999999,2014,1,13,1,1,73.815,1,48.9
"113",2014-01-13,15,999999999,2014,1,13,1,1,31.14,1,46.9
"114",2014-01-13,16,999999999,2014,1,13,1,1,0.045,1,45
"115",2014-01-14,7,999999999,2014,1,14,2,1,81.629998,1,48
"116",2014-01-14,8,999999999,2014,1,14,2,1,101.039993,1,46.9
"117",2014-01-14,9,999999999,2014,1,14,2,1,92.205,1,46.9
"118",2014-01-14,10,999999999,2014,1,14,2,1,91.979999,1,48
"119",2014-01-14,11,999999999,2014,1,14,2,1,81.765,1,48
"120",2014-01-14,12,999999999,2014,1,14,2,1,63.36,1,48.55
"121",2014-01-14,13,999999999,2014,1,14,2,1,63.27,1,47.875
"122",2014-01-14,14,999999999,2014,1,14,2,1,53.355,1,46.5
"123",2014-01-14,15,999999999,2014,1,14,2,1,23.655,1,47.1666666666667
"124",2014-01-14,16,999999999,2014,1,14,2,1,0.24,1,46.65
"125",2014-01-15,6,999999999,2014,1,15,3,1,6.975,0,36
"126",2014-01-15,7,999999999,2014,1,15,3,1,59.565,1,37
"127",2014-01-15,8,999999999,2014,1,15,3,1,89.114999,1,39
"128",2014-01-15,9,999999999,2014,1,15,3,1,95.624999,1,42.1
"129",2014-01-15,10,999999999,2014,1,15,3,1,109.274998,1,44.1
"130",2014-01-15,11,999999999,2014,1,15,3,1,79.74,1,46
"131",2014-01-15,12,999999999,2014,1,15,3,1,68.895,1,46
"132",2014-01-15,13,999999999,2014,1,15,3,1,59.325,1,46.9
"133",2014-01-15,14,999999999,2014,1,15,3,1,49.245,1,46
"134",2014-01-15,15,999999999,2014,1,15,3,1,18.33,1,44.1
"135",2014-01-16,6,999999999,2014,1,16,4,1,4.365,0,35.0666666666667
"136",2014-01-16,7,999999999,2014,1,16,4,1,88.934999,1,33.8666666666667
"137",2014-01-16,8,999999999,2014,1,16,4,1,92.22,1,35.35
"138",2014-01-16,9,999999999,2014,1,16,4,1,96.779999,1,37.2666666666667
"139",2014-01-16,10,999999999,2014,1,16,4,1,99.914999,1,39
"140",2014-01-16,11,999999999,2014,1,16,4,1,66.48,1,37.9
"141",2014-01-16,12,999999999,2014,1,16,4,1,66.27,1,37.3
"142",2014-01-16,13,999999999,2014,1,16,4,1,57.285,1,37.65
