"","X","date","hour","account","year","month","day","DayOfWeek","Weekday","kWh","peakhour","Temperature"
"1",1,"2014-01-01",0,999999999,2014,1,1,3,1,78.405,0,23
"2",2,"2014-01-01",1,999999999,2014,1,1,3,1,76.425,0,21.9
"3",3,"2014-01-01",2,999999999,2014,1,1,3,1,78.015,0,21.9
"4",4,"2014-01-01",3,999999999,2014,1,1,3,1,78.12,0,21.9
"5",5,"2014-01-01",4,999999999,2014,1,1,3,1,77.535,0,21
"6",6,"2014-01-01",5,999999999,2014,1,1,3,1,104.099999,0,21
"7",7,"2014-01-01",6,999999999,2014,1,1,3,1,158.264998,0,21
"8",8,"2014-01-01",7,999999999,2014,1,1,3,1,249.164995,1,19.9
"9",9,"2014-01-01",8,999999999,2014,1,1,3,1,240.524994,1,23
"10",10,"2014-01-01",9,999999999,2014,1,1,3,1,224.069994,1,24.1
"11",11,"2014-01-01",10,999999999,2014,1,1,3,1,223.394993,1,26.1
"12",12,"2014-01-01",11,999999999,2014,1,1,3,1,215.039996,1,26.1
"13",13,"2014-01-01",12,999999999,2014,1,1,3,1,210.675,1,27
"14",14,"2014-01-01",13,999999999,2014,1,1,3,1,196.049998,1,28
"15",15,"2014-01-01",14,999999999,2014,1,1,3,1,196.559993,1,27
"16",16,"2014-01-01",15,999999999,2014,1,1,3,1,151.829996,1,27
"17",17,"2014-01-01",16,999999999,2014,1,1,3,1,103.739998,1,26.1
"18",18,"2014-01-01",17,999999999,2014,1,1,3,1,99.584999,1,25
"19",19,"2014-01-01",18,999999999,2014,1,1,3,1,97.589998,1,24.1
"20",20,"2014-01-01",19,999999999,2014,1,1,3,1,91.47,1,24.1
"21",21,"2014-01-01",20,999999999,2014,1,1,3,1,93.6,0,23
"22",22,"2014-01-01",21,999999999,2014,1,1,3,1,79.35,0,21.9
"23",23,"2014-01-01",22,999999999,2014,1,1,3,1,76.44,0,23
"24",24,"2014-01-01",23,999999999,2014,1,1,3,1,78.975,0,23
"25",25,"2014-01-02",0,999999999,2014,1,2,4,1,78.66,0,21
"26",26,"2014-01-02",1,999999999,2014,1,2,4,1,77.385,0,20.1666666666667
"27",27,"2014-01-02",2,999999999,2014,1,2,4,1,79.485,0,19.2
"28",28,"2014-01-02",3,999999999,2014,1,2,4,1,83.685,0,19.2
"29",29,"2014-01-02",4,999999999,2014,1,2,4,1,162.194999,0,19.2
"30",30,"2014-01-02",5,999999999,2014,1,2,4,1,170.474997,0,19.2666666666667
"31",31,"2014-01-02",6,999999999,2014,1,2,4,1,205.874997,0,19.2666666666667
"32",32,"2014-01-02",7,999999999,2014,1,2,4,1,264.044997,1,19.2
"33",33,"2014-01-02",8,999999999,2014,1,2,4,1,263.534995,1,19.5666666666667
"34",34,"2014-01-02",9,999999999,2014,1,2,4,1,269.009995,1,24.1
"35",35,"2014-01-02",10,999999999,2014,1,2,4,1,80.82,1,25.8
"36",36,"2014-01-02",11,999999999,2014,1,2,4,1,33.45,1,24.5666666666667
"37",37,"2014-01-02",12,999999999,2014,1,2,4,1,24.825,1,24.1
