"","date","hour","account","year","month","day","DayOfWeek","Weekday","kWh","peakhour","Temperature"
"1","2014-01-01"," 0","999999999","2014"," 1"," 1","3","1"," 78.40500","0","   23.000000"
"2","2014-01-01"," 1","999999999","2014"," 1"," 1","3","1"," 76.42500","0","   21.900000"
"3","2014-01-01"," 2","999999999","2014"," 1"," 1","3","1"," 78.01500","0","   21.900000"
"4","2014-01-01"," 3","999999999","2014"," 1"," 1","3","1"," 78.12000","0","   21.900000"
"5","2014-01-01"," 4","999999999","2014"," 1"," 1","3","1"," 77.53500","0","   21.000000"
"6","2014-01-01"," 5","999999999","2014"," 1"," 1","3","1","104.10000","0","   21.000000"
"7","2014-01-01"," 6","999999999","2014"," 1"," 1","3","1","158.26500","0","   21.000000"
"8","2014-01-01"," 7","999999999","2014"," 1"," 1","3","1","249.16500","1","   19.900000"
"9","2014-01-01"," 8","999999999","2014"," 1"," 1","3","1","240.52499","1","   23.000000"
"10","2014-01-01"," 9","999999999","2014"," 1"," 1","3","1","224.06999","1","   24.100000"
"11","2014-01-01","10","999999999","2014"," 1"," 1","3","1","223.39499","1","   26.100000"
"12","2014-01-01","11","999999999","2014"," 1"," 1","3","1","215.04000","1","   26.100000"
"13","2014-01-01","12","999999999","2014"," 1"," 1","3","1","210.67500","1","   27.000000"
"14","2014-01-01","13","999999999","2014"," 1"," 1","3","1","196.05000","1","   28.000000"
"15","2014-01-01","14","999999999","2014"," 1"," 1","3","1","196.55999","1","   27.000000"
"16","2014-01-01","15","999999999","2014"," 1"," 1","3","1","151.83000","1","   27.000000"
"17","2014-01-01","16","999999999","2014"," 1"," 1","3","1","103.74000","1","   26.100000"
"18","2014-01-01","17","999999999","2014"," 1"," 1","3","1"," 99.58500","1","   25.000000"
"19","2014-01-01","18","999999999","2014"," 1"," 1","3","1"," 97.59000","1","   24.100000"
"20","2014-01-01","19","999999999","2014"," 1"," 1","3","1"," 91.47000","1","   24.100000"
"21","2014-01-01","20","999999999","2014"," 1"," 1","3","1"," 93.60000","0","   23.000000"
"22","2014-01-01","21","999999999","2014"," 1"," 1","3","1"," 79.35000","0","   21.900000"
"23","2014-01-01","22","999999999","2014"," 1"," 1","3","1"," 76.44000","0","   23.000000"
"24","2014-01-01","23","999999999","2014"," 1"," 1","3","1"," 78.97500","0","   23.000000"
