"","X","date","hour","account","year","month","day","DayOfWeek","Dayofyear","Weekday","kWh","peakhour","Temperature","pred","KWh_Class"
"1",1,"2014-01-01",0,999999999,2014,1,1,3,0,1,78.405,0,23,15.2836185852206,"Optimal"
"2",2,"2014-01-01",1,999999999,2014,1,1,3,0,1,76.425,0,21.9,10.7905982816587,"Optimal"
"3",3,"2014-01-01",2,999999999,2014,1,1,3,0,1,78.015,0,21.9,8.96871708074848,"Optimal"
"4",4,"2014-01-01",3,999999999,2014,1,1,3,0,1,78.12,0,21.9,7.14683587983829,"Optimal"
"5",5,"2014-01-01",4,999999999,2014,1,1,3,0,1,77.535,0,21,3.13947723130397,"Optimal"
"6",6,"2014-01-01",5,999999999,2014,1,1,3,0,1,104.1,0,21,1.31759603039378,"Optimal"
"7",7,"2014-01-01",6,999999999,2014,1,1,3,0,1,158.265,0,21,-0.504285170516404,"Optimal"
"8",8,"2014-01-01",7,999999999,2014,1,1,3,0,1,249.165,1,19.9,57.6760113615309,"Optimal"
"9",9,"2014-01-01",8,999999999,2014,1,1,3,0,1,240.52499,1,23,63.3818858135483,"Optimal"
"10",10,"2014-01-01",9,999999999,2014,1,1,3,0,1,224.06999,1,24.1,64.2311437152898,"Optimal"
"11",11,"2014-01-01",10,999999999,2014,1,1,3,0,1,223.39499,1,26.1,67.2658790646555,"Optimal"
"12",12,"2014-01-01",11,999999999,2014,1,1,3,0,1,215.04,1,26.1,65.4439978637453,"Optimal"
"13",13,"2014-01-01",12,999999999,2014,1,1,3,0,1,210.675,1,27,65.8075941104592,"Optimal"
"14",14,"2014-01-01",13,999999999,2014,1,1,3,0,1,196.05,1,28,66.414021184687,"Optimal"
"15",15,"2014-01-01",14,999999999,2014,1,1,3,0,1,196.55999,1,27,62.1638317086389,"Optimal"
"16",16,"2014-01-01",15,999999999,2014,1,1,3,0,1,151.83,1,27,60.3419505077287,"Optimal"
"17",17,"2014-01-01",16,999999999,2014,1,1,3,0,1,103.74,1,26.1,56.3345918591944,"Optimal"
"18",18,"2014-01-01",17,999999999,2014,1,1,3,0,1,99.585,1,25,51.8415715556324,"Optimal"
"19",19,"2014-01-01",18,999999999,2014,1,1,3,0,1,97.59,1,24.1,47.8342129070981,"Optimal"
"20",20,"2014-01-01",19,999999999,2014,1,1,3,0,1,91.47,1,24.1,46.0123317061879,"Optimal"
"21",21,"2014-01-01",20,999999999,2014,1,1,3,0,1,93.6,0,23,-21.1540054329832,"Optimal"
"22",22,"2014-01-01",21,999999999,2014,1,1,3,0,1,79.35,0,21.9,-25.6470257365451,"Optimal"
"23",23,"2014-01-01",22,999999999,2014,1,1,3,0,1,76.44,0,23,-24.7977678348036,"Optimal"
"24",24,"2014-01-01",23,999999999,2014,1,1,3,0,1,78.975,0,23,-26.6196490357138,"Optimal"
"25",25,"2014-01-02",0,999999999,2014,1,2,4,1,1,78.66,0,21,10.4270020349447,"Optimal"
"26",26,"2014-01-02",1,999999999,2014,1,2,4,1,1,77.385,0,20.166667,6.58153141418903,"Optimal"
"27",27,"2014-01-02",2,999999999,2014,1,2,4,1,1,79.485,0,19.2,2.41228473787609,"Optimal"
"28",28,"2014-01-02",3,999999999,2014,1,2,4,1,1,83.685,0,19.2,0.590403536965901,"Optimal"
"29",29,"2014-01-02",4,999999999,2014,1,2,4,1,1,162.195,0,19.2,-1.23147766394429,"Optimal"
"30",30,"2014-01-02",5,999999999,2014,1,2,4,1,1,170.475,0,19.266667,-2.89147083707585,"Optimal"
"31",31,"2014-01-02",6,999999999,2014,1,2,4,1,1,205.875,0,19.266667,-4.71335203798604,"Optimal"
"32",32,"2014-01-02",7,999999999,2014,1,2,4,1,1,264.045,1,19.2,55.9761955689344,"Optimal"
"33",33,"2014-01-02",8,999999999,2014,1,2,4,1,1,263.53499,1,19.566667,55.0446948783442,"Optimal"
"34",34,"2014-01-02",9,999999999,2014,1,2,4,1,1,269.01,1,24.1,64.2311437152898,"Optimal"
"35",35,"2014-01-02",10,999999999,2014,1,2,4,1,1,80.82,1,25.8,66.5373865821141,"Optimal"
"36",36,"2014-01-02",11,999999999,2014,1,2,4,1,1,33.45,1,24.566667,61.7205926513032,"Optimal"
"37",37,"2014-01-02",12,999999999,2014,1,2,4,1,1,24.825,1,24.1,58.7655001125593,"Optimal"
"38",38,"2014-01-02",13,999999999,2014,1,2,4,1,1,28.995,1,25.833333,61.1526857791187,"Optimal"
"39",39,"2014-01-02",14,999999999,2014,1,2,4,1,1,20.775,1,19.9,44.9228429551596,"Optimal"
"40",40,"2014-01-02",15,999999999,2014,1,2,4,1,1,6,1,13.95,28.6525275171788,"Optimal"
"41",41,"2014-01-02",16,999999999,2014,1,2,4,1,1,6,1,12.133333,22.4192188069986,"Optimal"
"42",42,"2014-01-02",17,999999999,2014,1,2,4,1,1,6,1,10.3,16.145439911105,"Optimal"
"43",43,"2014-01-02",18,999999999,2014,1,2,4,1,1,6,1,8.1,8.98128050489133,"Optimal"
"44",44,"2014-01-02",19,999999999,2014,1,2,4,1,1,6,1,6.1,2.30278275370529,"Optimal"
"45",45,"2014-01-02",20,999999999,2014,1,2,4,1,1,6,0,6.45,-61.3425073865158,"Optimal"
"46",46,"2014-01-02",21,999999999,2014,1,2,4,1,1,6,0,4.45,-68.0210051377019,"Optimal"
"47",47,"2014-01-02",22,999999999,2014,1,2,4,1,1,6,0,3.1,-73.1211025100483,"Optimal"
"48",48,"2014-01-02",23,999999999,2014,1,2,4,1,1,6,0,2.766667,-75.752418993235,"Optimal"
"49",49,"2014-01-03",0,999999999,2014,1,3,5,2,1,6,0,1.566667,-36.7631213024662,"Optimal"
"50",50,"2014-01-03",1,999999999,2014,1,3,5,2,1,6,0,1.9,-37.7755672210998,"Optimal"
"51",51,"2014-01-03",2,999999999,2014,1,3,5,2,1,6,0,1.9,-39.59744842201,"Optimal"
"52",52,"2014-01-03",3,999999999,2014,1,3,5,2,1,6,0,1.9,-41.4193296229202,"Optimal"
"53",53,"2014-01-03",4,999999999,2014,1,3,5,2,1,6,0,1.65,-43.8482878926149,"Optimal"
"54",54,"2014-01-03",5,999999999,2014,1,3,5,2,1,6,0,3.1,-42.1491220945751,"Optimal"
"55",55,"2014-01-03",6,999999999,2014,1,3,5,2,1,6.975,0,3.1,-43.9710032954852,"Optimal"
"56",56,"2014-01-03",7,999999999,2014,1,3,5,2,1,50.79,1,3.9,18.8230789593241,"Optimal"
"57",57,"2014-01-03",8,999999999,2014,1,3,5,2,1,51.945,1,5,19.6723368610656,"Optimal"
"58",58,"2014-01-03",9,999999999,2014,1,3,5,2,1,40.275,1,6.1,20.5215947628072,"Optimal"
"59",59,"2014-01-03",10,999999999,2014,1,3,5,2,1,41.1,1,8.8,25.2561459047694,"Optimal"
"60",60,"2014-01-03",11,999999999,2014,1,3,5,2,1,40.995,1,9.75,25.7411575652402,"Optimal"
"61",61,"2014-01-03",12,999999999,2014,1,3,5,2,1,40.095,1,12,29.3829699833904,"Optimal"
"62",62,"2014-01-03",13,999999999,2014,1,3,5,2,1,39.06,1,14,32.417705332756,"Optimal"
"63",63,"2014-01-03",14,999999999,2014,1,3,5,2,1,37.785,1,14,30.5958241318458,"Optimal"
"64",64,"2014-01-03",15,999999999,2014,1,3,5,2,1,20.295,1,12.9,26.1028038282839,"Optimal"
"65",65,"2014-01-03",16,999999999,2014,1,3,5,2,1,20.295,1,10.9,19.4243060770979,"Optimal"
"66",66,"2014-01-03",17,999999999,2014,1,3,5,2,1,20.295,1,9,12.9886391534256,"Optimal"
"67",67,"2014-01-03",18,999999999,2014,1,3,5,2,1,20.295,1,7,6.31014140223962,"Optimal"
"68",68,"2014-01-03",19,999999999,2014,1,3,5,2,1,20.295,1,6.1,2.30278275370529,"Optimal"
"69",69,"2014-01-03",20,999999999,2014,1,3,5,2,1,20.295,0,5,-64.8635543854658,"Optimal"
"70",70,"2014-01-03",21,999999999,2014,1,3,5,2,1,20.295,0,3.9,-69.3565746890277,"Optimal"
"71",71,"2014-01-03",22,999999999,2014,1,3,5,2,1,20.295,0,3.9,-71.1784558899379,"Optimal"
"72",72,"2014-01-03",23,999999999,2014,1,3,5,2,1,20.295,0,3.9,-73.0003370908481,"Optimal"
"73",73,"2014-01-04",0,999999999,2014,1,4,6,3,0,20.295,0,3.9,-93.2425602565649,"Optimal"
"74",74,"2014-01-04",1,999999999,2014,1,4,6,3,0,20.295,0,3.9,-95.0644414574751,"Optimal"
"75",75,"2014-01-04",2,999999999,2014,1,4,6,3,0,20.295,0,3,-99.0718001060095,"Optimal"
"76",76,"2014-01-04",3,999999999,2014,1,4,6,3,0,20.295,0,3.9,-98.7082038592955,"Optimal"
"77",77,"2014-01-04",4,999999999,2014,1,4,6,3,0,20.295,0,3,-102.71556250783,"Optimal"
"78",78,"2014-01-04",5,999999999,2014,1,4,6,3,0,20.295,0,1.9,-107.208582811392,"Optimal"
"79",79,"2014-01-04",6,999999999,2014,1,4,6,3,0,20.295,0,1.9,-109.030464012302,"Optimal"
"80",80,"2014-01-04",7,999999999,2014,1,4,6,3,0,20.295,1,3,-45.5078892749512,"Optimal"
"81",81,"2014-01-04",8,999999999,2014,1,4,6,3,0,20.295,1,7,-37.6165373753097,"Optimal"
"82",82,"2014-01-04",9,999999999,2014,1,4,6,3,0,20.295,1,10,-32.1534937508061,"Optimal"
"83",83,"2014-01-04",10,999999999,2014,1,4,6,3,0,20.295,1,14,-24.2621418511646,"Optimal"
"84",84,"2014-01-04",11,999999999,2014,1,4,6,3,0,20.295,1,19,-13.9424816763851,"Optimal"
"85",85,"2014-01-04",12,999999999,2014,1,4,6,3,0,20.295,1,21,-10.9077463270195,"Optimal"
"86",86,"2014-01-04",13,999999999,2014,1,4,6,3,0,20.295,1,23,-7.87301097765382,"Optimal"
"87",87,"2014-01-04",14,999999999,2014,1,4,6,3,0,20.295,1,24.1,-7.02375307591229,"Optimal"
"88",88,"2014-01-04",15,999999999,2014,1,4,6,3,0,20.295,1,25,-6.66015682919835,"Optimal"
"89",89,"2014-01-04",16,999999999,2014,1,4,6,3,0,20.295,1,26.1,-5.81089892745682,"Optimal"
"90",90,"2014-01-04",17,999999999,2014,1,4,6,3,0,20.295,1,26.1,-7.63278012836701,"Optimal"
"91",91,"2014-01-04",18,999999999,2014,1,4,6,3,0,20.295,1,27,-7.26918388165307,"Optimal"
"92",92,"2014-01-04",19,999999999,2014,1,4,6,3,0,20.295,1,27,-9.09106508256326,"Optimal"
"93",93,"2014-01-04",20,999999999,2014,1,4,6,3,0,20.295,0,26.1,-75.7717405667068,"Optimal"
"94",94,"2014-01-04",21,999999999,2014,1,4,6,3,0,20.295,0,27,-75.4081443199929,"Optimal"
"95",95,"2014-01-04",22,999999999,2014,1,4,6,3,0,20.295,0,27,-77.230025520903,"Optimal"
"96",96,"2014-01-04",23,999999999,2014,1,4,6,3,0,20.295,0,27,-79.0519067218132,"Optimal"
"97",97,"2014-01-05",0,999999999,2014,1,5,0,4,0,20.295,0,27,-37.1486391008789,"Optimal"
"98",98,"2014-01-05",1,999999999,2014,1,5,0,4,0,20.295,0,26.1,-41.1559977494132,"Optimal"
"99",99,"2014-01-05",2,999999999,2014,1,5,0,4,0,20.295,0,25,-45.6490180529751,"Optimal"
"100",100,"2014-01-05",3,999999999,2014,1,5,0,4,0,20.295,0,25,-47.4708992538853,"Optimal"
"101",101,"2014-01-05",4,999999999,2014,1,5,0,4,0,20.295,0,26.1,-46.6216413521438,"Optimal"
"102",102,"2014-01-05",5,999999999,2014,1,5,0,4,0,20.295,0,25,-51.1146616557057,"Optimal"
"103",103,"2014-01-05",6,999999999,2014,1,5,0,4,0,20.295,0,25,-52.9365428566159,"Optimal"
"104",104,"2014-01-05",7,999999999,2014,1,5,0,4,0,20.295,1,24.1,5.72941533045904,"Optimal"
"105",105,"2014-01-05",8,999999999,2014,1,5,0,4,0,20.295,1,27,10.9496281274488,"Optimal"
"106",106,"2014-01-05",9,999999999,2014,1,5,0,4,0,20.295,1,27,9.12774692653863,"Optimal"
"107",107,"2014-01-05",10,999999999,2014,1,5,0,4,0,20.295,1,30,14.5907905510422,"Optimal"
"108",108,"2014-01-05",11,999999999,2014,1,5,0,4,0,20.295,1,34,22.4821424506837,"Optimal"
"109",109,"2014-01-05",12,999999999,2014,1,5,0,4,0,20.295,1,36,25.5168778000494,"Optimal"
"110",110,"2014-01-05",13,999999999,2014,1,5,0,4,0,20.295,1,36,23.6949965991392,"Optimal"
"111",111,"2014-01-05",14,999999999,2014,1,5,0,4,0,20.295,1,36,21.873115398229,"Optimal"
"112",112,"2014-01-05",15,999999999,2014,1,5,0,4,0,20.295,1,35.1,17.8657567496947,"Optimal"
"113",113,"2014-01-05",16,999999999,2014,1,5,0,4,0,20.295,1,34.45,14.4654751699449,"Optimal"
"114",114,"2014-01-05",17,999999999,2014,1,5,0,4,0,20.295,1,36,16.4074717954984,"Optimal"
"115",115,"2014-01-05",18,999999999,2014,1,5,0,4,0,20.295,1,35.066667,12.319170347229,"Optimal"
"116",116,"2014-01-05",19,999999999,2014,1,5,0,4,0,20.295,1,36,12.7637093936781,"Optimal"
"117",117,"2014-01-05",20,999999999,2014,1,5,0,4,0,20.295,0,36.7,-50.0316728502448,"Optimal"
"118",118,"2014-01-05",21,999999999,2014,1,5,0,4,0,20.295,0,37.2,-50.639399913586,"Optimal"
"119",119,"2014-01-05",22,999999999,2014,1,5,0,4,0,20.295,0,37.566667,-51.5709006041762,"Optimal"
"120",120,"2014-01-05",23,999999999,2014,1,5,0,4,0,20.295,0,37.033333,-54.6878811706988,"Optimal"
"121",121,"2014-01-06",0,999999999,2014,1,6,1,5,1,20.295,0,39,54.1365509874274,"Optimal"
"122",122,"2014-01-06",1,999999999,2014,1,6,1,5,1,20.295,0,37.933333,49.7244734836006,"Optimal"
"123",123,"2014-01-06",2,999999999,2014,1,6,1,5,1,20.295,0,40.2,53.4067585157725,"Optimal"
"124",124,"2014-01-06",3,999999999,2014,1,6,1,5,1,20.295,0,43,58.3841404852485,"Optimal"
"125",125,"2014-01-06",4,999999999,2014,1,6,1,5,1,20.295,0,44.1,59.23339838699,"Optimal"
"126",126,"2014-01-06",5,999999999,2014,1,6,1,5,1,0.21,0,44.733333,58.9494449508978,"Optimal"
